,exp,path,run,subset
0,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_0_peaknet1.cxi,100,val
1,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_1_peaknet1.cxi,100,train
2,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_2_peaknet1.cxi,100,train
3,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_3_peaknet1.cxi,100,train
8,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_8_peaknet1.cxi,100,train
9,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_9_peaknet1.cxi,100,train
10,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_10_peaknet1.cxi,100,train
11,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_11_peaknet1.cxi,100,train
12,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_12_peaknet1.cxi,100,train
17,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_17_peaknet1.cxi,100,train
18,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_18_peaknet1.cxi,100,train
19,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_19_peaknet1.cxi,100,train
20,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_20_peaknet1.cxi,100,train
21,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_21_peaknet1.cxi,100,train
22,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_22_peaknet1.cxi,100,train
23,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0100/cxic0415_0100_23_peaknet1.cxi,100,train
0,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_0_peaknet1.cxi,98,val
1,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_1_peaknet1.cxi,98,train
2,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_2_peaknet1.cxi,98,train
3,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_3_peaknet1.cxi,98,train
4,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_4_peaknet1.cxi,98,train
5,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_5_peaknet1.cxi,98,train
6,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_6_peaknet1.cxi,98,train
7,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_7_peaknet1.cxi,98,train
8,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_8_peaknet1.cxi,98,train
9,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_9_peaknet1.cxi,98,train
10,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_10_peaknet1.cxi,98,train
11,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_11_peaknet1.cxi,98,train
12,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_12_peaknet1.cxi,98,train
13,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_13_peaknet1.cxi,98,train
14,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_14_peaknet1.cxi,98,train
15,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_15_peaknet1.cxi,98,train
16,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_16_peaknet1.cxi,98,train
17,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_17_peaknet1.cxi,98,train
18,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_18_peaknet1.cxi,98,train
19,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_19_peaknet1.cxi,98,train
20,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_20_peaknet1.cxi,98,train
21,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_21_peaknet1.cxi,98,train
22,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_22_peaknet1.cxi,98,train
23,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_23_peaknet1.cxi,98,train
0,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_0_peaknet1.cxi,99,val
1,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_1_peaknet1.cxi,99,train
2,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_2_peaknet1.cxi,99,train
3,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_3_peaknet1.cxi,99,train
4,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_4_peaknet1.cxi,99,train
5,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_5_peaknet1.cxi,99,train
6,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_6_peaknet1.cxi,99,train
7,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_7_peaknet1.cxi,99,train
8,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_8_peaknet1.cxi,99,train
9,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_9_peaknet1.cxi,99,train
10,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_10_peaknet1.cxi,99,train
11,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_11_peaknet1.cxi,99,train
12,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_12_peaknet1.cxi,99,train
13,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_13_peaknet1.cxi,99,train
14,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_14_peaknet1.cxi,99,train
15,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_15_peaknet1.cxi,99,train
16,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_16_peaknet1.cxi,99,train
17,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_17_peaknet1.cxi,99,train
18,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_18_peaknet1.cxi,99,train
19,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_19_peaknet1.cxi,99,train
20,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_20_peaknet1.cxi,99,train
21,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_21_peaknet1.cxi,99,train
22,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_22_peaknet1.cxi,99,train
23,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0098/cxic0415_0098_23_peaknet1.cxi,99,train
0,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_0_peaknet1.cxi,101,val
1,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_1_peaknet1.cxi,101,train
2,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_2_peaknet1.cxi,101,train
3,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_3_peaknet1.cxi,101,train
4,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_4_peaknet1.cxi,101,train
5,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_5_peaknet1.cxi,101,train
6,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_6_peaknet1.cxi,101,train
7,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_7_peaknet1.cxi,101,train
8,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_8_peaknet1.cxi,101,train
9,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_9_peaknet1.cxi,101,train
10,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/r0101/cxic0415_0101_10_peaknet1.cxi,101,train
