,path,exp,run,subset
0,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0015.cxi,cxip14117,15,train
1,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0210.cxi,cxils9717,210,train
2,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0233.cxi,cxilr2816,233,train
3,/reg/data/ana03/scratch/yoon82/autosfx/output/cxim1416_0068.cxi,cxim1416,68,train
4,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8317_0150.cxi,cxils8317,150,train
5,/reg/data/ana03/scratch/yoon82/autosfx/output/cxim2716_0037.cxi,cxim2716,37,train
6,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0036.cxi,cxip14117,36,train
7,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0009.cxi,cxilr2816,9,train
8,/reg/data/ana03/scratch/yoon82/autosfx/output/cxif5315_0178.cxi,cxif5315,178,train
9,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilt5917_0124.cxi,cxilt5917,124,train
10,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0055.cxi,cxip14117,55,train
11,/reg/data/ana03/scratch/yoon82/autosfx/output/cxim0916_0047.cxi,cxim0916,47,train
12,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0165.cxi,cxilr2816,165,train
13,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0135.cxi,cxilr2816,135,train
14,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0089.cxi,cxip14117,89,train
15,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0128.cxi,cxilr2816,128,train
16,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilt5917_0092.cxi,cxilt5917,92,train
17,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8717_0108.cxi,cxils8717,108,train
18,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0220.cxi,cxilr2816,220,train
19,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0209.cxi,cxils9717,209,train
20,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8717_0098.cxi,cxils8717,98,train
21,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilt4317_0371.cxi,cxilt4317,371,train
22,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8317_0067.cxi,cxils8317,67,train
23,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8717_0066.cxi,cxils8717,66,train
24,/reg/data/ana03/scratch/yoon82/autosfx/output/cxim1416_0043.cxi,cxim1416,43,train
25,/reg/data/ana03/scratch/yoon82/autosfx/output/cxif5315_0175.cxi,cxif5315,175,train
26,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilt5917_0203.cxi,cxilt5917,203,train
27,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2316_0082.cxi,cxilr2316,82,train
28,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0069.cxi,cxils9717,69,train
29,/reg/data/ana03/scratch/yoon82/autosfx/output/cxic0415_0100.cxi,cxic0415,100,train
30,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0144.cxi,cxilr2816,144,train
31,/reg/data/ana03/scratch/yoon82/autosfx/output/cxig0715_0231.cxi,cxig0715,231,train
32,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilu1817_0200.cxi,cxilu1817,200,train
33,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0079.cxi,cxils9717,79,train
34,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0212.cxi,cxils9717,212,train
35,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0090.cxi,cxip14117,90,train
36,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0107.cxi,cxilr2816,107,train
37,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0021.cxi,cxils9717,21,train
38,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2316_0085.cxi,cxilr2316,85,train
39,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2316_0252.cxi,cxilr2316,252,train
40,/reg/data/ana03/scratch/yoon82/autosfx/output/cxic0515_0023.cxi,cxic0515,23,train
41,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilt5917_0106.cxi,cxilt5917,106,train
42,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilt5917_0117.cxi,cxilt5917,117,train
43,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0216.cxi,cxilr2816,216,train
44,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0232.cxi,cxilr2816,232,train
45,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0026.cxi,cxip14117,26,train
46,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilu4517_0077.cxi,cxilu4517,77,train
47,/reg/data/ana03/scratch/yoon82/autosfx/output/cxip14117_0038.cxi,cxip14117,38,train
48,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8717_0036.cxi,cxils8717,36,train
49,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils9717_0206.cxi,cxils9717,206,train
50,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0212.cxi,cxilr2816,212,train
51,/reg/data/ana03/scratch/yoon82/autosfx/output/cxig0715_0235.cxi,cxig0715,235,train
52,/reg/data/ana03/scratch/yoon82/autosfx/output/cxim1416_0018.cxi,cxim1416,18,train
53,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr2816_0090.cxi,cxilr2816,90,train
54,/reg/data/ana03/scratch/yoon82/autosfx/output/cxilr8416_0030.cxi,cxilr8416,30,train
55,/reg/data/ana03/scratch/yoon82/autosfx/output/cxils8717_0061.cxi,cxils8717,61,train
